Allocation,MessageSize,Processes,Optimal_Count,Mean_Difference,Std_Difference
core,small_sizes,few_processes,12,0.06500000000000002,0.07493747393660931
core,small_sizes,many_processes,43,-0.011093750000000048,0.15466816482695303
core,small_sizes,many_many_processes,33,0.3079687500000001,1.9017937089819805
core,medium_sizes,few_processes,12,0.1955357142857142,0.3048472664587086
core,medium_sizes,many_processes,6,0.27714285714285725,1.2262118121121104
core,medium_sizes,many_many_processes,31,-0.7973214285714286,4.8297583831430755
core,large_sizes,few_processes,8,25.25625000000001,63.93508910817934
core,large_sizes,many_processes,8,22.431249999999995,66.27856219601352
core,large_sizes,many_many_processes,48,-65.36854166666667,66.6371516119694
socket,small_sizes,few_processes,34,0.02578124999999999,0.12662450255948685
socket,small_sizes,many_processes,55,-0.09265625000000001,0.10494406527258938
socket,small_sizes,many_many_processes,37,-0.005937499999999998,0.06128108267442736
socket,medium_sizes,few_processes,21,0.18464285714285728,0.4369617680469242
socket,medium_sizes,many_processes,11,0.17089285714285715,0.33376251600776996
socket,medium_sizes,many_many_processes,36,-0.4307142857142856,0.8656600643086033
socket,large_sizes,few_processes,3,77.13145833333333,138.54804581789162
socket,large_sizes,many_processes,13,-8.32145833333333,106.13886609432913
socket,large_sizes,many_many_processes,27,-39.23270833333334,134.8714357536401
node,small_sizes,few_processes,33,0.03468749999999997,0.18248260833227367
node,small_sizes,many_processes,63,-0.14968749999999997,0.08805127678659752
node,small_sizes,many_many_processes,34,0.002656249999999978,0.054722087276871154
node,medium_sizes,few_processes,22,0.3921428571428572,0.8846099105693712
node,medium_sizes,many_processes,36,0.03517857142857143,0.37224699495778607
node,medium_sizes,many_many_processes,14,1.0733928571428573,1.3660569910534928
node,large_sizes,few_processes,32,-4.853333333333333,29.72632701925274
node,large_sizes,many_processes,18,-16.645625,96.31289591971944
node,large_sizes,many_many_processes,0,170.21854166666665,197.51622109535697
