Iteration,Total Tasks,Total Threads,Elapsed Time(s),Computation Time(s),Gathering Time(s)
1,1,1,1.005688,1.005612,0.000000
1,1,2,1.008139,1.008056,0.000000
1,1,4,1.013693,1.013617,0.000000
1,1,8,1.021689,1.021614,0.000000
1,1,16,1.016237,1.016162,0.000000
1,2,1,1.017514,1.012009,0.005403
1,2,2,1.021723,1.008830,0.009833
1,2,4,1.035299,1.017293,0.017863
1,2,8,1.060596,1.023347,0.034171
1,2,16,1.083382,1.018235,0.065047
1,4,1,2.243816,2.006573,0.232380
1,4,2,2.281637,2.009983,0.264737
1,4,4,2.431599,2.018955,0.405519
1,4,8,3.203869,2.024072,1.179717
1,4,16,4.214741,2.017730,2.193131
1,8,1,5.105372,3.985712,1.086767
1,8,2,5.982506,4.034004,1.930349
1,8,4,7.645503,4.030995,3.597563
1,8,8,10.292550,4.055998,6.211721
1,8,16,17.339462,4.026994,13.280529
2,1,1,1.006252,1.006169,0.000000
2,1,2,1.007476,1.007400,0.000000
2,1,4,1.014028,1.013955,0.000000
2,1,8,1.022449,1.022376,0.000000
2,1,16,1.016420,1.016340,0.000000
2,2,1,1.011918,1.006533,0.005277
2,2,2,1.018524,1.008068,0.009569
2,2,4,1.032606,1.015017,0.017480
2,2,8,1.059161,1.025415,0.033649
2,2,16,1.087191,1.018234,0.065536
2,4,1,2.233759,2.005677,0.220386
2,4,2,2.422801,2.005884,0.416853
2,4,4,2.371100,2.019983,0.345606
2,4,8,3.163222,2.023706,1.136056
2,4,16,4.521249,2.018525,2.502308
2,8,1,5.097120,4.019992,1.055391
2,8,2,5.960039,4.349998,1.577542
2,8,4,7.509844,4.007061,3.457426
2,8,8,10.615435,4.060943,6.538270
2,8,16,16.790460,4.033993,12.734942
3,1,1,1.008272,1.008191,0.000000
3,1,2,1.008982,1.008887,0.000000
3,1,4,1.013062,1.012978,0.000000
3,1,8,1.020971,1.020882,0.000000
3,1,16,1.017009,1.016936,0.000000
3,2,1,1.011876,1.005633,0.005365
3,2,2,1.025922,1.012442,0.009496
3,2,4,1.034854,1.017215,0.017530
3,2,8,1.063326,1.029947,0.033297
3,2,16,1.085498,1.018124,0.067268
3,4,1,2.202935,2.012373,0.183325
3,4,2,2.339952,2.010973,0.324804
3,4,4,2.488084,2.023775,0.461589
3,4,8,3.306842,2.024979,1.281037
3,4,16,4.138686,2.017632,2.116220
3,8,1,5.238165,4.014981,1.207484
3,8,2,5.694942,4.028000,1.650017
3,8,4,7.398847,5.138011,2.225764
3,8,8,11.058262,4.043995,6.981182
3,8,16,16.644227,5.441988,11.181913
4,1,1,1.006456,1.006384,0.000000
4,1,2,1.007697,1.007612,0.000000
4,1,4,1.016111,1.016026,0.000000
4,1,8,1.027013,1.026940,0.000000
4,1,16,1.014504,1.014409,0.000000
4,2,1,1.011928,1.006469,0.005338
4,2,2,1.018546,1.008862,0.009585
4,2,4,1.032682,1.014631,0.017952
4,2,8,1.062606,1.029301,0.033203
4,2,16,1.083187,1.017039,0.065590
4,4,1,2.193274,2.004915,0.184365
4,4,2,2.256598,2.010792,0.245701
4,4,4,2.375432,2.015910,0.358487
4,4,8,3.164159,2.024544,1.139025
4,4,16,4.152002,2.019687,2.128203
4,8,1,5.197790,4.000403,1.168013
4,8,2,5.786362,4.034027,1.737903
4,8,4,7.983150,4.163002,3.785663
4,8,8,10.386407,4.058992,6.308726
4,8,16,17.476724,4.030010,13.427752
5,1,1,1.013576,1.013494,0.000000
5,1,2,1.009151,1.009077,0.000000
5,1,4,1.013856,1.013786,0.000000
5,1,8,1.022194,1.022106,0.000000
5,1,16,1.017489,1.017402,0.000000
5,2,1,1.012461,1.006899,0.005441
5,2,2,1.018069,1.008329,0.009629
5,2,4,1.036359,1.014431,0.018337
5,2,8,1.057905,1.024679,0.033095
5,2,16,1.083811,1.018221,0.065464
5,4,1,2.191031,2.005541,0.185418
5,4,2,2.280318,2.011214,0.264806
5,4,4,2.418542,2.017906,0.400561
5,4,8,3.221965,2.026849,1.195045
5,4,16,4.217947,2.014758,2.203115
5,8,1,5.079016,4.254999,0.799404
5,8,2,5.715299,4.042947,1.659216
5,8,4,7.472031,4.031005,3.406683
5,8,8,10.375591,4.052000,6.291551
5,8,16,16.824603,4.813043,11.996581
