Iteration,Total Tasks,Elapsed Time(s),Computation Time(s),Gathering Time(s)
1,1,1.180241,1.007930,0.000000
1,2,1.014509,1.003284,0.004219
1,4,1.041389,1.021880,0.008708
1,8,1.060756,1.023053,0.019786
1,16,1.101703,1.028591,0.039443
1,24,1.124535,1.024848,0.051082
1,32,1.175237,1.023808,0.076189
1,40,1.209625,1.025638,0.091155
1,48,1.258591,1.027005,0.102029
1,56,1.318780,1.028874,0.146468
1,64,1.353521,1.029310,0.161879
1,72,1.391710,1.054095,0.159033
1,80,1.406416,1.037789,0.164820
1,88,1.458738,1.035546,0.201667
1,96,1.493472,1.038587,0.213587
1,104,1.544746,1.039219,0.243261
1,112,1.558155,1.035507,0.241570
1,120,1.609038,1.032453,0.280682
1,128,1.642352,1.035229,0.289428
1,136,1.673360,1.030404,0.296881
1,144,1.759800,1.054986,0.344590
1,152,1.780749,1.032811,0.360208
1,160,1.793969,1.030966,0.363457
1,168,2.097104,1.039484,0.369605
1,176,1.840670,1.039505,0.370992
1,184,1.894745,1.042446,0.406080
1,192,1.900641,1.041858,0.396619
1,200,1.935884,1.039870,0.411558
1,208,1.969517,1.042021,0.440455
1,216,2.002046,1.044006,0.442478
1,224,2.014782,1.042582,0.441675
1,232,2.040300,1.042462,0.450862
1,240,2.063314,1.041574,0.452699
1,248,2.117003,1.038060,0.491505
1,256,2.131139,1.038262,0.481838
2,1,1.116588,1.005027,0.000000
2,2,1.015029,1.004319,0.003824
2,4,1.035985,1.016587,0.008212
2,8,1.051963,1.012449,0.020159
2,16,1.098282,1.026028,0.038585
2,24,1.125503,1.025624,0.051340
2,32,1.173426,1.021553,0.077074
2,40,1.226945,1.026907,0.091012
2,48,1.256267,1.029065,0.106152
2,56,1.306238,1.029220,0.147191
2,64,1.360824,1.032461,0.167658
2,72,1.375262,1.033495,0.160686
2,80,1.413164,1.036780,0.176715
2,88,1.464901,1.036110,0.207961
2,96,1.490788,1.048430,0.212575
2,104,1.548401,1.043324,0.247293
2,112,1.550471,1.034826,0.235645
2,120,1.618568,1.034399,0.285335
2,128,1.659984,1.030733,0.310453
2,136,1.697801,1.033844,0.323315
2,144,1.810856,1.127284,0.325227
2,152,1.744166,1.038303,0.340313
2,160,1.774788,1.040257,0.346797
2,168,1.815142,1.041442,0.362660
2,176,1.843607,1.036005,0.377720
2,184,1.866497,1.039816,0.385341
2,192,1.925230,1.096137,0.384698
2,200,1.915547,1.041209,0.397371
2,208,1.956670,1.038912,0.421655
2,216,1.976890,1.040201,0.427799
2,224,2.014113,1.042929,0.444510
2,232,2.104382,1.037190,0.440377
2,240,2.132300,1.129539,0.457919
2,248,2.100706,1.038001,0.482461
2,256,2.146599,1.036865,0.506710
3,1,1.118840,1.008535,0.000000
3,2,1.013517,1.002499,0.003825
3,4,1.042429,1.022062,0.008760
3,8,1.058012,1.021938,0.019005
3,16,1.097078,1.023434,0.039785
3,24,1.124212,1.025197,0.051089
3,32,1.172818,1.022323,0.075558
3,40,1.205740,1.023296,0.092031
3,48,1.248615,1.026883,0.106705
3,56,1.315471,1.027722,0.153433
3,64,1.341175,1.033571,0.160756
3,72,1.367163,1.033408,0.159893
3,80,1.401161,1.035980,0.174756
3,88,1.437726,1.037116,0.206818
3,96,1.459440,1.035919,0.213324
3,104,1.521428,1.032687,0.235305
3,112,1.561086,1.039124,0.248304
3,120,1.608632,1.032090,0.278477
3,128,1.647553,1.032706,0.299618
3,136,1.665171,1.036910,0.301973
3,144,1.828907,1.183814,0.310969
3,152,1.733734,1.038826,0.326228
3,160,1.787978,1.034938,0.366716
3,168,1.796674,1.034362,0.350744
3,176,1.835320,1.041487,0.374062
3,184,1.861897,1.043302,0.386056
3,192,1.887913,1.040387,0.403066
3,200,1.906892,1.040871,0.397531
3,208,1.957209,1.037842,0.425963
3,216,1.990197,1.042317,0.437657
3,224,2.056025,1.092563,0.438418
3,232,2.027036,1.042262,0.451216
3,240,2.062372,1.040463,0.463185
3,248,2.101534,1.039659,0.482333
3,256,2.153085,1.035658,0.511034
